City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,korla,41.7597,86.1469,11.9,10,100,3.51,CN,2023-04-06
325,laguna de duero,41.5815,-4.7233,9.66,24,0,3.09,ES,2023-04-06
326,general pico,-35.6566,-63.7568,16.52,92,97,3.78,AR,2023-04-06
327,ust-maya,60.4167,134.5333,-12.25,86,100,2.24,RU,2023-04-06
328,mutis,6.2262,-77.4044,25.05,88,98,1.96,CO,2023-04-06
329,bac lieu,9.285,105.7244,30.44,61,40,6.41,VN,2023-04-06
330,walvis bay,-22.9575,14.5053,21.31,65,44,3.6,NA,2023-04-06
331,escuinapa,22.85,-105.8,18.5,68,100,0.68,MX,2023-04-06
332,mildura,-34.2,142.15,20.04,69,70,2.9,AU,2023-04-06
333,dzerzhinskoye,56.8344,95.2283,5.69,58,100,4.99,RU,2023-04-06
334,quthing,-30.4,27.7003,21.9,29,0,1.76,LS,2023-04-06
335,raton,36.9034,-104.4391,-4.66,46,0,2.06,US,2023-04-06
336,mantua,45.1667,10.7833,10.75,50,25,1.34,IT,2023-04-06
337,grand-bourg,15.8835,-61.3148,21.97,78,17,8.12,GP,2023-04-06
338,flinders,-34.5833,150.8552,20.77,72,92,3.46,AU,2023-04-06
339,shu,43.5983,73.7614,14.89,51,100,5.97,KZ,2023-04-06
340,roald,62.5833,6.1333,8.52,61,0,4.12,NO,2023-04-06
341,miyako,39.6367,141.9525,13.88,79,100,3.59,JP,2023-04-06
342,bloomfield,40.8068,-74.1854,10.39,94,100,4.63,US,2023-04-06
343,hamilton,39.1834,-84.5333,10.24,79,100,3.13,US,2023-04-06
344,nome,64.5011,-165.4064,-23.96,70,0,1.54,US,2023-04-06
345,huarmey,-10.0681,-78.1522,25.3,81,45,3.56,PE,2023-04-06
346,san diego de los banos,22.6467,-83.3697,20.98,91,12,2.68,CU,2023-04-06
